Heure,Dimanche,Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi
00:00:00,239.5142857142857,272.85,287.54285714285714,280.55,272.3030303030303,237.45714285714286,249.90625
00:20:00,250.91176470588235,279.4,291.51428571428573,285.425,278.6363636363636,249.45714285714286,260.65625
00:40:00,264.52941176470586,286.8,294.9428571428571,289.525,283.7878787878788,260.0833333333333,269.3125
01:00:00,274.25714285714287,290.5,297.3529411764706,292.8292682926829,287.1515151515151,269.6111111111111,276.45454545454544
01:20:00,282.85714285714283,293.5,300.45714285714286,295.85,290.1818181818182,277.77777777777777,281.75757575757575
01:40:00,290.3142857142857,295.3,303.29411764705884,298.1,292.09090909090907,283.52777777777777,285.54545454545456
02:00:00,292.97058823529414,295.9,302.74285714285713,299.1,292.75757575757575,286.0810810810811,286.75757575757575
02:20:00,295.29411764705884,296.675,303.0,299.9,293.57575757575756,288.36842105263156,288.27272727272725
02:40:00,295.4848484848485,297.275,303.8235294117647,300.725,296.53125,290.7027027027027,288.1875
03:00:00,298.9714285714286,297.97297297297297,304.0571428571429,301.81081081081084,296.46875,291.6578947368421,291.09375
03:20:00,299.2,298.2,302.54285714285714,300.0,291.6666666666667,292.07894736842104,290.6060606060606
03:40:00,297.9714285714286,297.35,303.2,300.2307692307692,290.72727272727275,291.36842105263156,290.27272727272725
04:00:00,296.9142857142857,295.43589743589746,301.8,300.3,290.11764705882354,291.2105263157895,290.5625
04:20:00,296.9714285714286,294.61538461538464,302.0285714285714,300.275,289.79411764705884,291.8421052631579,289.78125
04:40:00,296.51428571428573,294.15384615384613,301.42857142857144,299.925,289.1470588235294,291.57894736842104,290.1290322580645
05:00:00,293.0,293.05128205128204,298.22857142857146,297.3076923076923,286.4117647058824,291.97297297297297,288.96875
05:20:00,291.4,292.2631578947368,299.4,299.2307692307692,287.29411764705884,291.2631578947368,287.625
05:40:00,290.9714285714286,290.0769230769231,299.1470588235294,299.325,287.14285714285717,290.94871794871796,286.5806451612903
06:00:00,290.62857142857143,290.02564102564105,300.1142857142857,299.05,287.3142857142857,289.28205128205127,286.8125
06:20:00,291.0285714285714,289.86842105263156,300.25714285714287,298.7,287.6,288.53846153846155,286.84375
06:40:00,290.9142857142857,290.0,301.44117647058823,298.6923076923077,287.2857142857143,288.53846153846155,286.09375
