Heure,Dimanche,Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi
00:00:00,604.5128205128206,594.5945945945946,616.9487179487179,592.3939393939394,605.6842105263158,576.578947368421,602.8222222222222
00:20:00,606.725,597.2894736842105,619.8,596.0294117647059,607.5263157894736,580.9736842105264,605.4444444444445
00:40:00,607.4473684210526,599.7894736842105,621.375,597.1176470588235,609.0526315789474,585.0263157894736,607.3636363636364
01:00:00,610.675,601.078947368421,623.1282051282051,599.8571428571429,612.1081081081081,587.9736842105264,610.2888888888889
01:20:00,612.3,601.7631578947369,623.425,597.5,612.7567567567568,589.8157894736842,611.7555555555556
01:40:00,613.25,602.3421052631579,623.8,597.8055555555555,613.5135135135135,591.7894736842105,613.0444444444445
02:00:00,612.2051282051282,602.5,624.025,597.9166666666666,613.7567567567568,589.6216216216217,609.8260869565217
02:20:00,612.4871794871794,600.0833333333334,624.3,596.0571428571428,613.8648648648649,593.3684210526316,610.0652173913044
02:40:00,612.8461538461538,600.7297297297297,624.375,598.0,612.1111111111111,593.6315789473684,610.3695652173913
03:00:00,614.525,598.8055555555555,624.425,600.1142857142858,612.1111111111111,593.9736842105264,613.9555555555555
03:20:00,614.725,602.7894736842105,624.5,600.1714285714286,614.027027027027,594.7567567567568,610.804347826087
03:40:00,614.875,602.9736842105264,624.5,600.2,614.0540540540541,594.3157894736842,610.9347826086956
04:00:00,615.0,598.3055555555555,624.5,598.0555555555555,614.1351351351351,595.0,611.0217391304348
04:20:00,614.974358974359,604.8974358974359,623.4871794871794,597.7777777777778,614.078947368421,594.1842105263158,611.0217391304348
04:40:00,614.974358974359,603.8205128205128,623.325,596.7222222222222,612.9736842105264,593.7368421052631,610.1521739130435
05:00:00,616.2820512820513,603.3333333333334,623.1,595.0,612.5526315789474,591.2702702702703,609.9565217391304
05:20:00,614.625,602.4358974358975,621.0,599.9428571428572,611.3947368421053,592.8684210526316,609.2173913043479
05:40:00,614.775,602.0769230769231,620.609756097561,599.6,611.0526315789474,592.8421052631579,609.0652173913044
06:00:00,614.4871794871794,600.4358974358975,619.3658536585366,598.2571428571429,614.972972972973,592.421052631579,607.9565217391304
06:20:00,618.2564102564103,605.5,617.5853658536586,596.5714285714286,607.0263157894736,591.5,606.3478260869565
06:40:00,616.7435897435897,591.2051282051282,612.2926829268292,592.7941176470588,601.3947368421053,588.578947368421,600.804347826087
07:00:00,612.6153846153846,575.4615384615385,600.0243902439024,579.1515151515151,586.6842105263158,581.4871794871794,588.3913043478261
07:20:00,604.025641025641,546.2820512820513,575.5121951219512,553.2424242424242,560.5263157894736,570.8974358974359,564.5909090909091
07:40:00,589.6153846153846,493.5,531.7317073170732,505.3235294117647,511.2105263157895,552.5897435897435,525.4545454545455
08:00:00,577.3076923076923,445.63157894736844,491.5609756097561,459.55882352941177,464.57894736842104,538.4615384615385,486.7608695652174
08:20:00,562.7179487179487,395.4102564102564,446.2439024390244,412.94117647058823,415.7567567567568,521.0,445.4347826086956
08:40:00,552.0,342.46153846153845,403.8292682926829,367.05882352941177,366.0263157894737,498.92105263157896,407.82608695652175
09:00:00,536.1842105263158,296.94871794871796,367.1463414634146,330.9117647058824,328.3421052631579,479.8918918918919,371.1521739130435
09:20:00,536.972972972973,263.86842105263156,335.95238095238096,296.54285714285714,300.2631578947368,467.86842105263156,344.32608695652175
09:40:00,528.0526315789474,221.3846153846154,313.5952380952381,259.25714285714287,281.2631578947368,449.94736842105266,321.04347826086956
10:00:00,519.8421052631579,208.175,303.6829268292683,241.11428571428573,263.5263157894737,434.7105263157895,302.6304347826087
10:20:00,514.2972972972973,198.28205128205127,287.45238095238096,230.65714285714284,251.71052631578948,424.39473684210526,283.8666666666667
10:40:00,508.8378378378378,186.4,277.04761904761904,222.85294117647058,239.81578947368422,413.4736842105263,283.84444444444443
11:00:00,504.81081081081084,179.825,269.85714285714283,217.76470588235293,227.71794871794873,411.8888888888889,274.39130434782606
11:20:00,502.7027027027027,180.28205128205127,265.26190476190476,214.08823529411765,224.15384615384616,401.8378378378378,268.4130434782609
11:40:00,506.19444444444446,175.46341463414635,263.7857142857143,213.02941176470588,223.87179487179486,399.0810810810811,267.0217391304348
12:00:00,504.5833333333333,175.02439024390245,262.5365853658537,210.7058823529412,222.23076923076923,399.94736842105266,267.5652173913044
12:20:00,494.47222222222223,178.0731707317073,268.8536585365854,212.61764705882354,227.02564102564102,406.1842105263158,271.7826086956522
12:40:00,498.0810810810811,181.6341463414634,268.2142857142857,214.1764705882353,229.51282051282053,403.97297297297297,275.82608695652175
13:00:00,497.2972972972973,182.26829268292684,266.85714285714283,214.05882352941177,230.05128205128204,410.05555555555554,277.1304347826087
13:20:00,496.2432432432432,178.41463414634146,260.1666666666667,209.5,224.46153846153845,406.0,271.6521739130435
13:40:00,493.1621621621622,172.1219512195122,250.92857142857142,202.08823529411765,217.3846153846154,394.5833333333333,269.44444444444446
14:00:00,487.72972972972974,168.75,245.73170731707316,198.85294117647058,209.94871794871796,392.9189189189189,261.95652173913044
14:20:00,484.02702702702703,166.73170731707316,239.35714285714286,200.96969696969697,208.8684210526316,388.0,264.45652173913044
14:40:00,482.5405405405405,166.8048780487805,237.07142857142858,196.08823529411765,209.76315789473685,385.7027027027027,264.2608695652174
15:00:00,481.2972972972973,169.14634146341464,235.74418604651163,192.0,211.76923076923077,385.7837837837838,259.7826086956522
15:20:00,480.86486486486484,172.4878048780488,240.11904761904762,198.6764705882353,217.55263157894737,389.1111111111111,266.3829787234043
