Heure,Dimanche,Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi
00:00:00,194.51351351351352,215.53846153846155,259.0285714285714,236.56410256410257,234.69230769230768,174.05263157894737,192.2051282051282
00:20:00,213.21621621621622,227.21052631578948,267.1142857142857,247.02631578947367,246.97435897435898,191.97368421052633,206.71052631578948
00:40:00,225.52777777777777,238.82051282051282,273.0,255.5897435897436,254.66666666666666,205.83783783783784,221.71052631578948
01:00:00,243.42105263157896,248.28205128205127,279.1142857142857,262.475,263.87179487179486,223.1891891891892,236.48717948717947
01:20:00,265.5,257.7692307692308,288.79411764705884,271.075,272.2564102564103,244.6216216216216,251.76923076923077
01:40:00,275.94736842105266,262.7692307692308,291.47058823529414,274.1794871794872,275.1842105263158,254.02702702702703,258.5128205128205
02:00:00,282.3783783783784,265.5128205128205,295.2352941176471,277.45,277.84615384615387,259.94594594594594,263.61538461538464
02:20:00,287.7027027027027,268.6923076923077,295.62857142857143,280.0,281.02702702702703,266.7837837837838,268.8974358974359
02:40:00,291.6756756756757,269.8421052631579,296.8285714285714,281.875,281.55555555555554,270.94594594594594,271.8974358974359
03:00:00,294.94736842105266,272.43243243243245,298.0,285.43243243243245,281.94736842105266,274.2432432432432,272.3157894736842
03:20:00,297.8157894736842,272.87179487179486,299.0571428571429,285.475,283.05128205128204,277.43243243243245,276.2307692307692
03:40:00,300.9736842105263,273.7027027027027,300.22857142857146,286.875,284.12820512820514,280.97297297297297,278.63157894736844
04:00:00,303.2972972972973,275.15384615384613,300.52941176470586,287.219512195122,284.6666666666667,283.2972972972973,280.0
04:20:00,305.72972972972974,276.20512820512823,301.34285714285716,288.0731707317073,285.4871794871795,285.5945945945946,281.5897435897436
04:40:00,307.3783783783784,277.05128205128204,301.9428571428571,288.780487804878,286.3076923076923,287.27777777777777,282.8974358974359
05:00:00,308.81081081081084,278.0769230769231,302.74285714285713,289.4634146341463,287.02564102564105,290.8,283.7631578947368
05:20:00,311.8378378378378,279.86842105263156,303.4,290.53846153846155,288.46153846153845,292.1142857142857,285.3421052631579
05:40:00,312.89473684210526,280.46153846153845,303.6666666666667,290.4,289.4736842105263,293.74285714285713,286.7105263157895
06:00:00,312.87179487179486,280.79487179487177,303.56756756756755,291.025,290.5,296.5882352941176,287.5
06:20:00,313.13157894736844,282.5,303.56756756756755,291.3333333333333,289.5897435897436,298.1764705882353,288.35135135135135
06:40:00,313.57894736842104,281.3333333333333,303.05405405405406,291.56410256410254,290.2894736842105,298.25714285714287,287.97297297297297
07:00:00,313.63157894736844,280.7894736842105,302.5945945945946,291.125,290.89473684210526,297.0,287.2105263157895
07:20:00,314.2631578947368,278.1842105263158,303.35135135135135,291.7894736842105,290.3157894736842,298.0285714285714,289.44444444444446
07:40:00,316.1081081081081,282.57894736842104,305.2162162162162,294.525,291.6842105263158,297.77142857142854,289.0810810810811
08:00:00,315.05263157894734,282.1025641025641,304.72972972972974,293.8536585365854,293.63157894736844,296.4,287.39473684210526
08:20:00,313.92105263157896,278.6923076923077,301.94594594594594,293.0769230769231,288.5263157894737,294.51428571428573,283.7631578947368
08:40:00,310.8157894736842,269.1794871794872,290.05405405405406,285.3333333333333,282.27027027027026,289.9428571428571,277.86486486486484
09:00:00,307.1842105263158,254.71794871794873,279.3783783783784,273.6666666666667,270.7894736842105,281.7352941176471,265.7368421052632
09:20:00,301.0263157894737,235.7027027027027,264.86842105263156,253.975,255.1315789473684,272.1818181818182,250.7027027027027
09:40:00,297.36842105263156,217.28205128205127,251.35135135135135,233.425,236.39473684210526,258.38235294117646,232.94736842105263
10:00:00,289.57894736842104,194.33333333333334,235.7027027027027,212.5897435897436,218.3846153846154,240.1764705882353,215.10526315789474
10:20:00,281.81081081081084,174.0,219.8918918918919,190.7,196.64102564102564,218.14705882352942,197.94871794871796
10:40:00,276.9189189189189,160.51282051282053,208.66666666666666,173.55,183.17948717948718,200.54285714285714,183.71794871794873
11:00:00,272.15384615384613,148.39473684210526,199.13513513513513,161.28947368421052,170.21052631578948,183.7941176470588,170.23076923076923
11:20:00,267.39473684210526,142.39473684210526,189.88571428571427,153.3,162.57894736842104,174.97222222222223,162.07692307692307
11:40:00,267.57894736842104,137.6578947368421,186.8108108108108,149.53846153846155,158.15384615384616,169.63888888888889,159.46153846153845
12:00:00,265.2162162162162,132.97435897435898,178.72222222222223,148.68421052631578,151.51282051282053,166.57142857142858,154.10256410256412
12:20:00,257.5,123.53846153846153,170.0810810810811,143.84615384615384,148.0,165.57142857142858,147.10256410256412
12:40:00,252.07894736842104,110.2051282051282,155.8918918918919,136.1315789473684,133.675,160.45714285714286,129.92307692307693
13:00:00,246.52631578947367,101.26315789473684,147.05405405405406,127.10526315789474,120.66666666666667,155.2,121.87179487179488
13:20:00,240.81578947368422,97.38461538461539,143.43243243243242,123.66666666666667,118.125,146.74285714285713,117.3157894736842
13:40:00,240.0,101.74358974358974,144.21621621621622,124.3076923076923,117.7560975609756,149.82857142857142,117.71052631578948
14:00:00,244.3421052631579,104.84615384615384,142.36111111111111,123.02564102564102,119.5,149.47222222222223,121.92105263157895
14:20:00,247.92105263157896,107.15789473684211,144.05405405405406,122.28205128205128,121.5,152.77142857142857,122.12820512820512
