Heure,Dimanche,Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi
00:00:00,193.7674418604651,188.74358974358975,196.7906976744186,189.12820512820514,187.16666666666666,196.09302325581396,199.0
00:20:00,193.54761904761904,188.84615384615384,196.8139534883721,189.2051282051282,187.36111111111111,196.4418604651163,199.14285714285714
00:40:00,194.54761904761904,189.05128205128204,196.7906976744186,189.25641025641025,187.58333333333334,196.8139534883721,201.83333333333334
01:00:00,194.48837209302326,189.17948717948718,196.26829268292684,189.33333333333334,184.82857142857142,196.90697674418604,201.88888888888889
01:20:00,194.65116279069767,189.2051282051282,196.64285714285714,189.4102564102564,184.82857142857142,196.97674418604652,201.97222222222223
01:40:00,194.90697674418604,189.2051282051282,196.71428571428572,189.43589743589743,185.61111111111111,197.06976744186048,202.11111111111111
02:00:00,196.5,189.2051282051282,196.76190476190476,189.46153846153845,185.61111111111111,197.09302325581396,202.13888888888889
02:20:00,194.97674418604652,189.2051282051282,196.76190476190476,189.48717948717947,185.63888888888889,197.1627906976744,202.13888888888889
02:40:00,195.02325581395348,189.23076923076923,196.8095238095238,189.48717948717947,185.14285714285714,197.42857142857142,202.16666666666666
03:00:00,193.52272727272728,188.45945945945945,196.85714285714286,189.44736842105263,185.14285714285714,197.25581395348837,202.19444444444446
03:20:00,193.5681818181818,189.23076923076923,196.85714285714286,189.48717948717947,185.63888888888889,197.25581395348837,202.19444444444446
03:40:00,193.5909090909091,189.23076923076923,196.85714285714286,189.48717948717947,185.66666666666666,197.25581395348837,202.22222222222223
04:00:00,193.61363636363637,189.23076923076923,196.85714285714286,189.48717948717947,185.66666666666666,197.2093023255814,202.22222222222223
04:20:00,193.62790697674419,189.23076923076923,194.58536585365854,189.48717948717947,185.72222222222223,197.25581395348837,202.19444444444446
04:40:00,193.62790697674419,189.23076923076923,196.85714285714286,189.48717948717947,185.72222222222223,197.25581395348837,202.19444444444446
05:00:00,193.1627906976744,189.2051282051282,196.83333333333334,191.3783783783784,185.69444444444446,197.64285714285714,202.22222222222223
05:20:00,195.11627906976744,189.2051282051282,196.83333333333334,189.0,185.69444444444446,197.25581395348837,202.19444444444446
05:40:00,195.11627906976744,189.625,196.78571428571428,189.0,185.63888888888889,197.2325581395349,202.13888888888889
06:00:00,194.8139534883721,188.025,193.21951219512195,187.92105263157896,183.88571428571427,196.41860465116278,201.25
06:20:00,194.26190476190476,187.2051282051282,192.7560975609756,187.39473684210526,184.22222222222223,196.02325581395348,200.69444444444446
06:40:00,193.9047619047619,186.65,191.9512195121951,188.66666666666666,183.19444444444446,195.37209302325581,199.61111111111111
07:00:00,193.0,185.25641025641025,189.78048780487805,185.76923076923077,180.66666666666666,194.13953488372093,197.36111111111111
07:20:00,191.54761904761904,178.25,184.65853658536585,179.94736842105263,174.83333333333334,191.95348837209303,196.38235294117646
07:40:00,189.54761904761904,173.12820512820514,180.1951219512195,175.17948717948718,169.97222222222223,189.86046511627907,191.82857142857142
08:00:00,187.4047619047619,164.375,172.1219512195122,167.2051282051282,162.69444444444446,186.6046511627907,182.47222222222223
08:20:00,185.04761904761904,156.2,165.2439024390244,158.76923076923077,155.63888888888889,182.69767441860466,175.52777777777777
08:40:00,182.3170731707317,146.875,157.78048780487805,150.6153846153846,147.0,178.74418604651163,166.36111111111111
09:00:00,180.4390243902439,139.85,151.65853658536585,143.92307692307693,140.77777777777777,174.6341463414634,160.66666666666666
09:20:00,178.53658536585365,134.69230769230768,148.23809523809524,139.25,136.25,173.52380952380952,156.55555555555554
09:40:00,176.8048780487805,131.1,146.6341463414634,135.15,132.77777777777777,170.66666666666666,155.0857142857143
10:00:00,175.0,126.8,142.11904761904762,130.5,129.19444444444446,167.9047619047619,149.02777777777777
10:20:00,173.46341463414635,121.7948717948718,139.11904761904762,126.925,125.75,165.88095238095238,144.63888888888889
10:40:00,171.9512195121951,120.275,136.64285714285714,123.275,123.82857142857142,163.02325581395348,143.0
11:00:00,170.609756097561,115.48648648648648,134.02380952380952,120.1,118.94444444444444,159.14634146341464,140.32432432432432
11:20:00,169.4878048780488,114.8108108108108,132.02380952380952,117.45,116.94444444444444,157.02380952380952,137.27027027027026
11:40:00,168.73170731707316,113.60526315789474,130.73809523809524,115.85,114.68571428571428,156.46511627906978,135.67567567567568
12:00:00,167.97560975609755,112.24324324324324,129.83333333333334,115.475,113.82857142857142,154.2093023255814,134.86486486486487
