Heure,Dimanche,Jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi
00:00:00,299.780487804878,306.575,301.38235294117646,310.85,310.83720930232556,305.03125,308.5945945945946
00:20:00,302.425,306.85,301.61764705882354,310.780487804878,311.1860465116279,306.5,309.05405405405406
00:40:00,301.325,307.1,300.8125,310.675,311.27906976744185,306.94117647058823,309.3783783783784
01:00:00,301.925,307.4,302.6969696969697,311.0731707317073,310.7317073170732,307.3235294117647,309.64864864864865
01:20:00,302.20512820512823,307.55,302.0882352941176,311.219512195122,311.0,307.8529411764706,309.9189189189189
01:40:00,302.46153846153845,307.725,302.20588235294116,311.3658536585366,309.4634146341463,308.1764705882353,310.1081081081081
02:00:00,302.2105263157895,307.725,302.3235294117647,311.4634146341463,311.1190476190476,307.030303030303,310.13513513513516
02:20:00,302.39473684210526,307.75,302.38235294117646,312.8,311.219512195122,308.4117647058824,310.18918918918916
02:40:00,302.44736842105266,307.75,302.38235294117646,311.5365853658537,311.2439024390244,308.44117647058823,310.18918918918916
03:00:00,302.6923076923077,310.1666666666667,302.4117647058824,312.4102564102564,311.1666666666667,308.5,311.22222222222223
03:20:00,302.7435897435897,307.4102564102564,303.030303030303,311.65,311.1666666666667,308.5,310.18918918918916
03:40:00,302.7435897435897,307.4102564102564,303.030303030303,311.675,311.1666666666667,308.52941176470586,310.18918918918916
04:00:00,302.79487179487177,307.9,303.030303030303,311.5609756097561,311.1666666666667,308.5882352941176,310.18918918918916
04:20:00,302.05555555555554,307.9,302.8125,312.3,311.1666666666667,307.1470588235294,309.3611111111111
04:40:00,300.8157894736842,308.6923076923077,303.030303030303,311.5609756097561,311.1904761904762,307.1764705882353,309.3611111111111
05:00:00,303.55263157894734,309.5263157894737,303.030303030303,311.55,311.1904761904762,305.1212121212121,309.3333333333333
05:20:00,302.7692307692308,308.6923076923077,304.29411764705884,313.38461538461536,311.1904761904762,307.1470588235294,309.3333333333333
05:40:00,302.7435897435897,305.325,304.20588235294116,312.375,311.07142857142856,307.05882352941177,309.27777777777777
06:00:00,302.7692307692308,305.325,304.1764705882353,312.35,311.8536585365854,307.0,309.22222222222223
06:20:00,303.39473684210526,304.5,303.8529411764706,311.925,310.4047619047619,306.94117647058823,308.75
06:40:00,303.2631578947368,303.925,303.1470588235294,311.425,309.9024390243902,306.6764705882353,308.22222222222223
07:00:00,302.7894736842105,302.28205128205127,301.8235294117647,309.475,308.7560975609756,304.09090909090907,307.3888888888889
07:20:00,301.44736842105266,296.8,297.3529411764706,305.8974358974359,303.3414634146341,304.94117647058823,304.94117647058823
07:40:00,298.7894736842105,289.8974358974359,290.3235294117647,296.85,294.9268292682927,303.0,298.0
08:00:00,295.7105263157895,280.075,283.2647058823529,289.64102564102564,285.7073170731707,299.7352941176471,288.8888888888889
08:20:00,292.5135135135135,269.2,273.7352941176471,278.1794871794872,274.1190476190476,295.38235294117646,279.1388888888889
08:40:00,287.7894736842105,258.6,264.0882352941176,267.4102564102564,264.3333333333333,291.1764705882353,270.75
09:00:00,284.7894736842105,249.9,255.7058823529412,259.38461538461536,255.95238095238096,291.0625,263.69444444444446
09:20:00,282.10526315789474,241.10526315789474,251.85294117647058,249.4878048780488,250.8048780487805,282.75,257.54285714285714
09:40:00,280.0263157894737,236.51282051282053,245.94117647058823,243.609756097561,241.90697674418604,283.93939393939394,251.69444444444446
10:00:00,277.9736842105263,230.525,241.05555555555554,238.0,236.93023255813952,281.1212121212121,247.30555555555554
10:20:00,276.5263157894737,229.17948717948718,238.91666666666666,235.14634146341464,233.4418604651163,278.93939393939394,244.1891891891892
10:40:00,275.10526315789474,226.7948717948718,236.52777777777777,232.73170731707316,230.13953488372093,274.4117647058824,241.56756756756758
11:00:00,274.1842105263158,224.1081081081081,237.16666666666666,230.9268292682927,229.2093023255814,273.6060606060606,240.1081081081081
11:20:00,273.2105263157895,222.07894736842104,235.61111111111111,229.7560975609756,228.46511627906978,272.8787878787879,239.27027027027026
11:40:00,273.56756756756755,223.92307692307693,235.33333333333334,229.82926829268294,226.38095238095238,267.7878787878788,238.67567567567568
12:00:00,273.7567567567568,223.5897435897436,234.54285714285714,230.82051282051282,229.06976744186048,270.88235294117646,241.21052631578948
12:20:00,273.2368421052632,223.6578947368421,237.74285714285713,231.46341463414635,229.95348837209303,271.20588235294116,241.8421052631579
12:40:00,273.3421052631579,225.21052631578948,236.61111111111111,233.175,230.69767441860466,271.6470588235294,242.68421052631578
13:00:00,273.36842105263156,225.9189189189189,238.8,234.88095238095238,230.51162790697674,271.5882352941176,243.40540540540542
13:20:00,272.94736842105266,224.45945945945945,235.83333333333334,233.92857142857142,227.88095238095238,271.8235294117647,243.51351351351352
13:40:00,271.2972972972973,221.45945945945945,232.41666666666666,232.28571428571428,227.4047619047619,270.90909090909093,241.97222222222223
14:00:00,270.2631578947368,221.13888888888889,228.45714285714286,229.97619047619048,225.8780487804878,270.44117647058823,239.78378378378378
14:20:00,267.7631578947368,216.83783783783784,226.72972972972974,229.02380952380952,224.33333333333334,268.88235294117646,238.54054054054055
14:40:00,265.60526315789474,214.78378378378378,225.3783783783784,226.29268292682926,222.58536585365854,267.47058823529414,235.94594594594594
15:00:00,264.36842105263156,214.9189189189189,224.78378378378378,228.78048780487805,221.78048780487805,266.55882352941177,239.83333333333334
15:20:00,264.27027027027026,217.2,229.97142857142856,228.42857142857142,224.675,265.88235294117646,236.23684210526315
15:40:00,264.55263157894734,218.26470588235293,223.36111111111111,229.71428571428572,225.05,265.11764705882354,237.6315789473684
